image,rank,similar_image,similarity
data_cat\1\Snipaste_2026-06-03_17-53-03.png,8,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9394
data_cat\1\Snipaste_2026-06-03_17-53-03.png,9,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9394
data_cat\1\Snipaste_2026-06-03_17-53-03.png,10,data_cat\5\5-9.png,0.9385
data_cat\1\Snipaste_2026-06-03_17-54-27.png,1,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9515
data_cat\1\Snipaste_2026-06-03_17-54-27.png,2,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9483
data_cat\1\Snipaste_2026-06-03_17-54-27.png,3,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9394
data_cat\1\Snipaste_2026-06-03_17-54-27.png,4,data_cat\5\5-9.png,0.9377
data_cat\1\Snipaste_2026-06-03_17-54-27.png,5,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9368
data_cat\1\Snipaste_2026-06-03_17-54-27.png,6,data_cat\5\5-6.png,0.9359
data_cat\1\Snipaste_2026-06-03_17-54-27.png,7,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9352
data_cat\1\Snipaste_2026-06-03_17-54-27.png,8,data_cat\4\4-3.png,0.9331
data_cat\1\Snipaste_2026-06-03_17-54-27.png,9,data_cat\7\Snipaste_2026-06-05_15-14-41.png,0.9313
data_cat\1\Snipaste_2026-06-03_17-54-27.png,10,data_cat\5\5-7.png,0.9276
data_cat\1\Snipaste_2026-06-03_17-54-38.png,1,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9790
data_cat\1\Snipaste_2026-06-03_17-54-38.png,2,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9559
data_cat\1\Snipaste_2026-06-03_17-54-38.png,3,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9542
data_cat\1\Snipaste_2026-06-03_17-54-38.png,4,data_cat\2\2-3.png,0.9532
data_cat\1\Snipaste_2026-06-03_17-54-38.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9514
data_cat\1\Snipaste_2026-06-03_17-54-38.png,6,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9499
data_cat\1\Snipaste_2026-06-03_17-54-38.png,7,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9483
data_cat\1\Snipaste_2026-06-03_17-54-38.png,8,data_cat\5\5-9.png,0.9464
data_cat\1\Snipaste_2026-06-03_17-54-38.png,9,data_cat\5\5-6.png,0.9456
data_cat\1\Snipaste_2026-06-03_17-54-38.png,10,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9399
data_cat\1\Snipaste_2026-06-03_17-55-02.png,1,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9558
data_cat\1\Snipaste_2026-06-03_17-55-02.png,2,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9458
data_cat\1\Snipaste_2026-06-03_17-55-02.png,3,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9453
data_cat\1\Snipaste_2026-06-03_17-55-02.png,4,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9399
data_cat\1\Snipaste_2026-06-03_17-55-02.png,5,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9398
data_cat\1\Snipaste_2026-06-03_17-55-02.png,6,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9348
data_cat\1\Snipaste_2026-06-03_17-55-02.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9283
data_cat\1\Snipaste_2026-06-03_17-55-02.png,8,data_cat\3\3-5.png,0.9265
data_cat\1\Snipaste_2026-06-03_17-55-02.png,9,data_cat\3\3-2.png,0.9239
data_cat\1\Snipaste_2026-06-03_17-55-02.png,10,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9229
data_cat\1\Snipaste_2026-06-03_17-56-18.png,1,data_cat\1\Snipaste_2026-06-03_17-56-50.png,0.9434
data_cat\1\Snipaste_2026-06-03_17-56-18.png,2,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9333
data_cat\1\Snipaste_2026-06-03_17-56-18.png,3,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9277
data_cat\1\Snipaste_2026-06-03_17-56-18.png,4,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9251
data_cat\1\Snipaste_2026-06-03_17-56-18.png,5,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9240
data_cat\1\Snipaste_2026-06-03_17-56-18.png,6,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9191
data_cat\1\Snipaste_2026-06-03_17-56-18.png,7,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9190
data_cat\1\Snipaste_2026-06-03_17-56-18.png,8,data_cat\2\2-3.png,0.9185
data_cat\1\Snipaste_2026-06-03_17-56-18.png,9,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9168
data_cat\1\Snipaste_2026-06-03_17-56-18.png,10,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9152
data_cat\1\Snipaste_2026-06-03_17-56-40.png,1,data_cat\2\2-3.png,0.9672
data_cat\1\Snipaste_2026-06-03_17-56-40.png,2,data_cat\5\5-9.png,0.9641
data_cat\1\Snipaste_2026-06-03_17-56-40.png,3,data_cat\5\5-6.png,0.9611
data_cat\1\Snipaste_2026-06-03_17-56-40.png,4,data_cat\2\2-4.png,0.9553
data_cat\1\Snipaste_2026-06-03_17-56-40.png,5,data_cat\5\5-1.png,0.9544
data_cat\1\Snipaste_2026-06-03_17-56-40.png,6,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9542
data_cat\1\Snipaste_2026-06-03_17-56-40.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9487
data_cat\1\Snipaste_2026-06-03_17-56-40.png,8,data_cat\4\4-3.png,0.9482
data_cat\1\Snipaste_2026-06-03_17-56-40.png,9,data_cat\1\Snipaste_2026-06-03_17-56-18.png,0.9477
data_cat\1\Snipaste_2026-06-03_17-56-40.png,10,data_cat\2\2-6.png,0.9470
data_cat\1\Snipaste_2026-06-03_17-56-50.png,1,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9493
data_cat\1\Snipaste_2026-06-03_17-56-50.png,2,data_cat\5\5-9.png,0.9444
data_cat\1\Snipaste_2026-06-03_17-56-50.png,3,data_cat\1\Snipaste_2026-06-03_17-56-18.png,0.9434
data_cat\1\Snipaste_2026-06-03_17-56-50.png,4,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9416
data_cat\1\Snipaste_2026-06-03_17-56-50.png,5,data_cat\2\2-3.png,0.9346
