============================================================
Pet Re-ID DINOv3 Training Log
============================================================
Experiment: dino_pretraining
Start Time: 2026-06-26 00:41:33
Log File: logs/dino\dino_pretraining_20260626_004133.log
============================================================

Training Configuration:
----------------------------------------
  backbone: mobilenetv3_large_100
  proj_dim: 512
  hidden_dim: 2048
  predictor_hidden_dim: 1024
  global_crop_size: 224
  local_crop_size: 96
  num_global_views: 2
  num_local_views: 6
  global_crop_scale: (0.4, 1.0)
  local_crop_scale: (0.05, 0.4)
  epochs: 10
  batch_size: 64
  num_workers: 4
  pin_memory: True
  lr: 0.0005
  weight_decay: 0.04
  warmup_epochs: 10
  min_lr: 1e-06
  teacher_momentum_start: 0.996
  teacher_momentum_end: 1.0
  teacher_temp: 0.04
  student_temp: 0.1
  center_momentum: 0.9
  seed: 42
  use_amp: True
  max_grad_norm: 3.0
  save_interval: 5
  log_interval: 10
  output_dir: outputs/dino
  checkpoint_dir: checkpoints/dino
  log_dir: logs/dino
  data_root: ../pet_rec/datasets

[2026-06-26 00:41:33] Device: cuda
[2026-06-26 00:41:33] Output directory: outputs/dino
[2026-06-26 00:41:33] Checkpoint directory: checkpoints/dino
[2026-06-26 00:41:33] Log directory: logs/dino
[2026-06-26 00:41:33] 
==================================================
[2026-06-26 00:41:33] 创建数据集...
[2026-06-26 00:41:33] ==================================================
[2026-06-26 00:41:33] 数据集大小: 25000
[2026-06-26 00:58:31]   [2] Batch 120/390 | Loss: 4.3539 | LR: 0.000054
[2026-06-26 00:58:52]   [2] Batch 130/390 | Loss: 4.3048 | LR: 0.000054
[2026-06-26 00:59:08]   [2] Batch 140/390 | Loss: 4.2567 | LR: 0.000054
[2026-06-26 00:59:30]   [2] Batch 150/390 | Loss: 4.2086 | LR: 0.000054
[2026-06-26 00:59:46]   [2] Batch 160/390 | Loss: 4.1602 | LR: 0.000054
[2026-06-26 01:00:08]   [2] Batch 170/390 | Loss: 4.1117 | LR: 0.000054
[2026-06-26 01:00:25]   [2] Batch 180/390 | Loss: 4.0636 | LR: 0.000054
[2026-06-26 01:00:47]   [2] Batch 190/390 | Loss: 4.0163 | LR: 0.000054
[2026-06-26 01:01:03]   [2] Batch 200/390 | Loss: 3.9706 | LR: 0.000054
[2026-06-26 01:01:24]   [2] Batch 210/390 | Loss: 3.9239 | LR: 0.000054
[2026-06-26 01:01:41]   [2] Batch 220/390 | Loss: 3.8788 | LR: 0.000054
[2026-06-26 01:02:03]   [2] Batch 230/390 | Loss: 3.8351 | LR: 0.000054
[2026-06-26 01:02:20]   [2] Batch 240/390 | Loss: 3.7918 | LR: 0.000054
[2026-06-26 01:02:41]   [2] Batch 250/390 | Loss: 3.7492 | LR: 0.000054
[2026-06-26 01:02:58]   [2] Batch 260/390 | Loss: 3.7069 | LR: 0.000054
[2026-06-26 01:03:20]   [2] Batch 270/390 | Loss: 3.6656 | LR: 0.000054
[2026-06-26 01:03:36]   [2] Batch 280/390 | Loss: 3.6253 | LR: 0.000054
[2026-06-26 01:03:58]   [2] Batch 290/390 | Loss: 3.5839 | LR: 0.000054
[2026-06-26 01:04:15]   [2] Batch 300/390 | Loss: 3.5447 | LR: 0.000054
[2026-06-26 01:04:36]   [2] Batch 310/390 | Loss: 3.5057 | LR: 0.000054
[2026-06-26 01:04:51]   [2] Batch 320/390 | Loss: 3.4678 | LR: 0.000054
[2026-06-26 01:05:13]   [2] Batch 330/390 | Loss: 3.4295 | LR: 0.000054
